NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
FM CAS S2014C03 C1M1 F240725                                US30711XAJ37        62MB      FMS14C03C1M1 f240725S
FM CAS S2014C03 C1M2 F240725                                US30711XAK00        62NB      FMS14C03C1M2 f240725S
FM CAS S2014C03 C2M1 F240725                                US30711XAL82        63PB      FMS14C03C2M1 f240725S
FM CAS S2014C03 C2M2 F240725                                US30711XAM65        63OB      FMS14C03C2M2 f240725S
FM CAS S2014C04 C1M1 F241125                                US30711XAN49        63NB      FMS14C04C1M1 f241125S
FM CAS S2014C04 C1M2 F241125                                US30711XAP96        63MB      FMS14C04C1M2 f241125S
FM CAS S2014C04 C2M1 F241125                                US30711XAQ79        63LB      FMS14C04C2M1 f241125S
FM CAS S2014C04 C2M2 F241125                                US30711XAR52        63KB      FMS14C04C2M2 f241125S
FM CAS S2015C01 C1M1 F250225                                US30711XAS36        63JB      FMS15C01C1M1 f250225S
FM CAS S2015C01 C1M2 F250225                                US30711XAT19        63IB      FMS15C01C1M2 f250225S
FM CAS S2015C01 C2M1 F250225                                US30711XAU81        63HB      FMS15C01C2M1 f250225S
FM CAS S2015C01 C2M2 F250225                                US30711XAV64        63GB      FMS15C01C2M2 f250225S
FM CAS S2015C02 C1M1 F250525                                US30711XAW48        64BB      FMS15C02C1M1 f250525S
FM CAS S2015C02 C1M2 F250525                                US30711XAX21        64AB      FMS15C02C1M2 f250525S
FM CAS S2015C02 C2M1 F250525                                US30711XAY04        63FB      FMS15C02C2M1 f250525S
FM CAS S2015C02 C2M2 F250525                                US30711XAZ78        63EB      FMS15C02C2M2 f250525S
FM CAS S2015C03 C1M1 F250725                                US30711XBA19        63DB      FMS15C03C1M1 f250725S
FM CAS S2015C03 C1M2 F250725                                US30711XBB91        63CB      FMS15C03C1M2 f250725S
FM CAS S2015C03 C2M1 F250725                                US30711XBC74        63BB      FMS15C03C2M1 f250725S
FM CAS S2015C03 C2M2 F250725                                US30711XBD57        63AB      FMS15C03C2M2 f250725S
FM CAS S2015C04 C1M1 F280425                                US30711XBE31        62ZB      FMS15C04C1M1 f280425S
FM CAS S2015C04 C1M2 F280425                                US30711XBF06        62YB      FMS15C04C1M2 f280425S
FM CAS S2015C04 C2M1 F280425                                US30711XBG88        62OB      FMS15C04C2M1 f280425S
FM CAS S2015C04 C2M2 F280425                                US30711XBH61        62PB      FMS15C04C2M2 f280425S
FM CAS S2016C01 C1B F280825                                 US30711XBQ60        62QB      FMS16C01C1B f280825S
FM CAS S2016C01 C1M1 F280825                                US30711XBJ28        62RB      FMS16C01C1M1 f280825S
FM CAS S2016C01 C1M2 F280825                                US30711XBM56        62SB      FMS16C01C1M2 f280825S
FM CAS S2016C01 C1M2A F280825                               US30711XBK90        62TB      FMS16C01C1M2A f280825S
FM CAS S2016C01 C1M2B F280825                               US30711XBL73        62UB      FMS16C01C1M2B f280825S
FM CAS S2016C01 C1M2F F280825                               US30711XBN30        62VB      FMS16C01C1M2F f280825S
FM CAS S2016C01 C1M2I F280825                               US30711XBP87        62WB      FMS16C01C1M2I f280825S
FM CAS S2016C01 C2M1 F280825                                US30711XBR44        62XB      FMS16C01C2M1 f280825S
FM CAS S2016C01 C2M2 F280825                                US30711XBU72        63QB      FMS16C01C2M2 f280825S
FM CAS S2016C01 C2M2A F280825                               US30711XBS27        63RB      FMS16C01C2M2A f280825S
FM CAS S2016C01 C2M2B F280825                               US30711XBT00        63UB      FMS16C01C2M2B f280825S
FM CAS S2016C01 C2M2F F280825                               US30711XBV55        63TB      FMS16C01C2M2F f280825S
FM CAS S2016C01 C2M2I F280825                               US30711XBW39        63SB      FMS16C01C2M2I f280825S
FM CAS S2016C02 C1B F280925                                 US30711XCH52        64KB      FMS16C02C1B f280925S
FM CAS S2016C02 C1M1 F280925                                US30711XBZ69        63VB      FMS16C02C1M1 f280925 S
FM CAS S2016C02 C1M2 F280925                                US30711XCB82        63WB      FMS16C02C1M2 f280925 S
FM CAS S2016C02 C1M2A F280925                               US30711XCC65        63XB      FMS16C02C1M2A f280925S
FM CAS S2016C02 C1M2B F280925                               US30711XCG79        64LB      FMS16C02C1M2B f280925S
FM CAS S2016C02 C1M2F F280925                               US30711XCE22        63YB      FMS16C02C1M2F f280925S
FM CAS S2016C02 C1M2I F280925                               US30711XCF96        63ZB      FMS16C02C1M2I f280925S
FM CAS S2016C03 C1B F281025                                 US30711XCR35        64DB      FMS16C03C1B f281025S
FM CAS S2016C03 C1M1 F281025                                US30711XCK81        64JB      FMS16C03C1M1 f281025S
FM CAS S2016C03 C1M2 F281025                                US30711XCL64        64IB      FMS16C03C1M2 f281025S
FM CAS S2016C03 C1M2A F281025                               US30711XCM48        64HB      FMS16C03C1M2A f281025S
FM CAS S2016C03 C1M2B F281025                               US30711XCN21        64EB      FMS16C03C1M2B f281025S
FM CAS S2016C03 C1M2F F281025                               US30711XCP78        64FB      FMS16C03C1M2F f281025S
FM CAS S2016C03 C1M2I F281025                               US30711XCQ51        64GB      FMS16C03C1M2I f281025S
FM CAS S2016C03 C2B F281025                                 US30711XCY85        65GB      FMS16C03C2B f281025S
FM CAS S2016C03 C2M1 F281025                                US30711XCS18        64CB      FMS16C03C2M1 f281025S
FM CAS S2016C03 C2M2 F281025                                US30711XCT90        65BB      FMS16C03C2M2 f281025S
FM CAS S2016C03 C2M2A F281025                               US30711XCU63        65CB      FMS16C03C2M2A f281025S
FM CAS S2016C03 C2M2B F281025                               US30711XCV47        65FB      FMS16C03C2M2B f281025S
FM CAS S2016C03 C2M2F F281025                               US30711XCW20        65EB      FMS16C03C2M2F f281025S
FM CAS S2016C03 C2M2I F281025                               US30711XCX03        65DB      FMS16C03C2M2I f281025S
FM CAS S2016C04 C1B F290125                                 US30711XDB73        64YB      FMS16C04C1B f290125S
FM CAS S2016C04 C1M1 F290125                                US30711XCZ50        65HB      FMS16C04C1M1 f290125S
FM CAS S2016C04 C1M2 F290125                                US30711XDA90        65IB      FMS16C04C1M2 f290125S
FM CAS S2016C04 C1M2A F290125                               US30711XDC56        65JB      FMS16C04C1M2A f290125S
FM CAS S2016C04 C1M2B F290125                               US30711XDD30        64ZB      FMS16C04C1M2B f290125S
FM CAS S2016C04 C1M2F F290125                               US30711XDF87        65KB      FMS16C04C1M2F f290125S
FM CAS S2016C04 C1M2I F290125                               US30711XDE13        65AB      FMS16C04C1M2I f290125S
FM CAS S2016C05 C2B F290125                                 US30711XDN12        64RB      FMS16C05C2B f290125S
FM CAS S2016C05 C2M1 F290125                                US30711XDG60        64XB      FMS16C05C2M1 f290125S
FM CAS S2016C05 C2M2 F290125                                US30711XDK72        64WB      FMS16C05C2M2 f290125S
FM CAS S2016C05 C2M2A F290125                               US30711XDH44        64VB      FMS16C05C2M2A f290125S
FM CAS S2016C05 C2M2B F290125                               US30711XDJ00        64SB      FMS16C05C2M2B f290125S
FM CAS S2016C05 C2M2F F290125                               US30711XDL55        64UB      FMS16C05C2M2F f290125S
FM CAS S2016C05 C2M2I F290125                               US30711XDM39        64TB      FMS16C05C2M2I f290125S
FM CAS S2016C06 C1B F290425                                 US30711XDY76        64MB      FMS16C06C1B f290425S
FM CAS S2016C06 C1M1 F290425                                US30711XDP69        65LB      FMS16C06C1M1 f290425S
FM CAS S2016C06 C1M2 F290425                                US30711XDS09        65MB      FMS16C06C1M2 f290425S
FM CAS S2016C06 C1M2A F290425                               US30711XDQ43        65NB      FMS16C06C1M2A f290425S
FM CAS S2016C06 C1M2B F290425                               US30711XDR26        64NB      FMS16C06C1M2B f290425S
FM CAS S2016C06 C1M2I F290425                               US30711XDT81        64OB      FMS16C06C1M2I f290425S
FM CAS S2016C06 C1M2R F290425                               US30711XDU54        65OB      FMS16C06C1M2R f290425S
FM CAS S2016C06 C1M2S F290425                               US30711XDV38        65PB      FMS16C06C1M2S f290425S
FM CAS S2016C06 C1M2T F290425                               US30711XDW11        64QB      FMS16C06C1M2T f290425S
FM CAS S2016C06 C1M2U F290425                               US30711XDX93        64PB      FMS16C06C1M2U f290425S
FM CAS S2016C07 C2B F290525                                 US30711XEJ90        69BB      FMS16C07C2B f290525S
FM CAS S2016C07 C2M1 F290525                                US30711XDZ42        68SB      FMS16C07C2M1 f290525S
FM CAS S2016C07 C2M2 F290525                                US30711XEC48        68TB      FMS16C07C2M2 f290525S
FM CAS S2016C07 C2M2A F290525                               US30711XEA81        68UB      FMS16C07C2M2A f290525S
FM CAS S2016C07 C2M2B F290525                               US30711XEB64        68VB      FMS16C07C2M2B f290525S
FM CAS S2016C07 C2M2I N290525                               US30711XEH35        69AB      FMS16C07C2M2I n290525S
FM CAS S2016C07 C2M2R F290525                               US30711XED21        68WB      FMS16C07C2M2R f290525S
FM CAS S2016C07 C2M2S F290525                               US30711XEE04        68XB      FMS16C07C2M2S f290525S
FM CAS S2016C07 C2M2T F290525                               US30711XEF78        68YB      FMS16C07C2M2T f290525S
FM CAS S2016C07 C2M2U F290525                               US30711XEG51        68ZB      FMS16C07C2M2U f290525S
FM CAS S2017C01 C1AI1 N290725                               US30711XEW02        69HB      FMS17C01C1AI1 n290725S
FM CAS S2017C01 C1AI2 N290725                               US30711XER17        69IB      FMS17C01C1AI2 n290725S
FM CAS S2017C01 C1AI3 N290725                               US30711XFM11        69JB      FMS17C01C1AI3 n290725S
FM CAS S2017C01 C1AI4 N290725                               US30711XFT63        69KB      FMS17C01C1AI4 n290725S
FM CAS S2017C01 C1B1 F290725                                US30711XEQ34        6C3B      FMS17C01C1B1 f290725S
FM CAS S2017C01 C1BI1 N290725                               US30711XFB55        69PB      FMS17C01C1BI1 n290725S
FM CAS S2017C01 C1BI2 N290725                               US30711XFU37        69QB      FMS17C01C1BI2 n290725S
FM CAS S2017C01 C1BI3 N290725                               US30711XFV10        69RB      FMS17C01C1BI3 n290725S
FM CAS S2017C01 C1BI4 N290725                               US30711XFW92        69SB      FMS17C01C1BI4 n290725S
FM CAS S2017C01 C1CI1 N290725                               US30711XGJ72        69XB      FMS17C01C1CI1 n290725S
FM CAS S2017C01 C1CI2 N290725                               US30711XFX75        69YB      FMS17C01C1CI2 n290725S
FM CAS S2017C01 C1CI3 N290725                               US30711XFY58        69ZB      FMS17C01C1CI3 n290725S
FM CAS S2017C01 C1CI4 N290725                               US30711XFZ24        6A0B      FMS17C01C1CI4 n290725S
FM CAS S2017C01 C1EA1 F290725                               US30711XES99        69LB      FMS17C01C1EA1 f290725S
FM CAS S2017C01 C1EA2 F290725                               US30711XET72        69MB      FMS17C01C1EA2 f290725S
FM CAS S2017C01 C1EA3 F290725                               US30711XEU46        69NB      FMS17C01C1EA3 f290725S
FM CAS S2017C01 C1EA4 F290725                               US30711XEV29        69OB      FMS17C01C1EA4 f290725S
